title_year,movie_title,budget,gross,imdb_score,num_critics,duration
1994,The Lion King,45000000,422783777,8.5,73,186
1995,Toy Story,30000000,191796233,8.3,166,74
1996,Independence Day,75000000,306124059,6.9,185,154
1997,Titanic,200000000,658672302,7.7,315,194
1998,Saving Private Ryan,70000000,216119491,8.6,219,169
1999,Star Wars: Episode I - The Phantom Menace,115000000,474544677,6.5,320,136
2000,How the Grinch Stole Christmas,123000000,260031035,6,175,110
2001,Harry Potter and the Sorcerer's Stone,125000000,317557891,7.5,258,159
2002,Spider-Man,139000000,403706375,7.3,291,121
2003,Finding Nemo,94000000,380838870,8.2,301,100
2004,Spider-Man 2,200000000,373377893,7.3,300,135
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,291709845,6.9,284,150
2006,X-Men: The Last Stand,210000000,234360014,6.8,334,104
2007,Transformers,150000000,318759914,7.1,396,144
2008,Hancock,150000000,227946274,6.4,318,102
2009,Avatar,237000000,760505847,7.9,723,178
2010,Toy Story 3,200000000,414984497,8.3,453,103
2011,Transformers: Dark of the Moon,195000000,352358779,6.3,428,154
2012,The Avengers,220000000,623279547,8.1,703,173
2013,The Hunger Games: Catching Fire,130000000,424645577,7.6,502,146
2014,American Sniper,58800000,350123553,7.3,490,133
2015,Jurassic World,150000000,652177271,7,644,124
